Rank,Company,Industry,SIC Division Code,SIC Division Name,LLM Confidence,LLM Rationale
1,Walmart,General Merchandisers,G,Retail Trade,1,Walmart is a major retailer in general merchandise.
2,Amazon,Internet Services and Retailing,G,Retail Trade,1,Amazon operates primarily as a retailer.
3,UnitedHealth,Health Care: Insurance and Managed Care,H,"Finance, Insurance & Real Estate",1,Insurance and managed care falls under finance and real estate.
4,Apple,"Computers, Office Equipment",D,Manufacturing,1,Core business involves production of goods.
5,CVS Health,Health Care: Pharmacy and Other Services,I,Services,0.9,Pharmacy services fall under health care services.
6,Berkshire Hathaway,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
7,Alphabet,Internet Services and Retailing,G,Retail Trade,1,Retailing is the core of the industry.
8,Exxon Mobil,Petroleum Refining,D,Manufacturing,1,Petroleum refining is a manufacturing process.
9,McKesson,Wholesalers: Health Care,F,Wholesale Trade,0.9,Company is a wholesaler in health care.
10,Cencora,Wholesalers: Health Care,F,Wholesale Trade,0.9,Company is a wholesaler in health care.
11,JPMorgan Chase,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Banks are classified under finance and insurance.
12,Costco,General Merchandisers,G,Retail Trade,1,Costco operates as a retailer of general merchandise.
13,Cigna,Health Care: Pharmacy and Other Services,I,Services,0.9,Health care services fall under the Services category.
14,Microsoft,Computer Software,I,Services,0.9,Software development falls under services category.
15,Cardinal Health,Wholesalers: Health Care,F,Wholesale Trade,0.9,Company is a wholesaler in health care.
16,Chevron,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
17,Bank of America,Commercial Banks,H,"Finance, Insurance & Real Estate",1,Banking falls under finance and insurance sector.
18,General Motors,Motor Vehicles & Parts,D,Manufacturing,1,Core business is production of motor vehicles.
19,Ford Motor,Motor Vehicles & Parts,D,Manufacturing,1,Core business is production of motor vehicles.
20,Elevance Health,Health Care: Insurance and Managed Care,H,"Finance, Insurance & Real Estate",1,Company operates in health insurance sector.
21,Citi,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Citi is a bank, fitting in finance and insurance."
22,Meta,Internet Services and Retailing,G,Retail Trade,0.9,Company operates as a platform for retailing services.
23,Centene,Health Care: Insurance and Managed Care,H,"Finance, Insurance & Real Estate",1,Company operates in health insurance and managed care.
24,Home Depot,Specialty Retailers: Other,G,Retail Trade,1,Home Depot is a retailer specializing in home improvement.
25,Fannie Mae,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Company operates in finance and real estate sectors.
26,Walgreens,Food & Drug Stores,G,Retail Trade,0.9,Retailer in food and drug sector.
27,Kroger,Food & Drug Stores,G,Retail Trade,1,Kroger operates as a retailer of food and drugs.
28,Phillips 66,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
29,Marathon Petroleum,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
30,Verizon,Telecommunications,E,Transportation & Public Utilities,1,Telecommunications falls under utilities and public services.
31,Nvidia,Semiconductors and Other Electronic Components,D,Manufacturing,0.9,Core business involves production of electronic components.
32,Goldman Sachs,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Goldman Sachs is a bank, fitting in finance."
33,Wells Fargo,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Wells Fargo is a bank, fitting in finance sector."
34,Valero Energy,Petroleum Refining,D,Manufacturing,1,Petroleum refining is classified under manufacturing.
35,Comcast,Telecommunications,E,Transportation & Public Utilities,0.9,Telecommunications falls under utilities and public services.
36,State Farm,Insurance: Property and Casualty (Mutual),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
37,AT&T,Telecommunications,E,Transportation & Public Utilities,1,Telecommunications falls under utilities and public services.
38,Freddie Mac,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Freddie Mac operates in finance and real estate sectors.
39,Humana,Health Care: Insurance and Managed Care,H,"Finance, Insurance & Real Estate",1,Health care insurance falls under finance and insurance.
40,Morgan Stanley,Commercial Banks,H,"Finance, Insurance & Real Estate",1,"Company is a bank, fits finance category."
41,Target,General Merchandisers,G,Retail Trade,1,Target is a retailer of general merchandise.
42,StoneX,Diversified Financials,H,"Finance, Insurance & Real Estate",0.9,Diversified financial services indicate a focus on finance.
43,Tesla,Motor Vehicles & Parts,D,Manufacturing,1,"Tesla produces motor vehicles, classifying it as manufacturing."
44,Dell Technologies,"Computers, Office Equipment",D,Manufacturing,1,Core business involves production of goods.
45,PepsiCo,Food Consumer Products,D,Manufacturing,0.9,Food products are manufactured goods.
46,Walt Disney,Entertainment,I,Services,0.9,Entertainment is primarily a service industry.
47,UPS,"Mail, Package and Freight Delivery",E,Transportation & Public Utilities,0.9,Core business involves transportation and delivery services.
48,Johnson & Johnson,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve production of goods.
49,FedEx,"Mail, Package and Freight Delivery",E,Transportation & Public Utilities,0.9,Core business involves transportation and delivery services.
50,Archer Daniels Midland,Food Production,A,"Agriculture, Forestry & Fishing",0.9,Food production relates to agriculture and fishing.
51,Procter & Gamble,Household and Personal Products,D,Manufacturing,0.9,Household products are manufactured goods.
52,Lowe's,Specialty Retailers: Other,G,Retail Trade,1,Lowe's is a retailer specializing in home improvement.
53,Energy Transfer,Pipelines,E,Transportation & Public Utilities,0.9,Pipelines are part of utility transportation services.
54,RTX,Aerospace & Defense,D,Manufacturing,0.9,Aerospace & Defense involves production of goods.
55,Albertsons,Food & Drug Stores,G,Retail Trade,1,Retailer of food and drug products.
56,Sysco,Wholesalers: Food and Grocery,F,Wholesale Trade,0.9,Company is a wholesaler of food and grocery.
57,Progressive,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
58,American Express,Diversified Financials,H,"Finance, Insurance & Real Estate",1,Company operates in financial services sector.
59,Lockheed Martin,Aerospace & Defense,D,Manufacturing,0.9,Aerospace manufacturing is a core production of goods.
60,MetLife,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
61,HCA Healthcare,Health Care: Medical Facilities,I,Services,0.9,"Healthcare facilities provide services, not goods."
62,Prudential Financial,"Insurance: Life, Health (Stock)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
63,Boeing,Aerospace & Defense,D,Manufacturing,0.9,Aerospace manufacturing is a core production of goods.
64,Caterpillar,Construction and Farm Machinery,C,Construction,0.9,Company focuses on construction machinery production.
65,Merck,Pharmaceuticals,I,Services,0.9,Pharmaceuticals primarily involve research and development services.
66,Allstate,Insurance: Property and Casualty (Stock),H,"Finance, Insurance & Real Estate",1,Insurance companies fall under finance and real estate.
67,Pfizer,Pharmaceuticals,D,Manufacturing,0.9,Pharmaceuticals involve the production of goods.
68,IBM,Information Technology Services,I,Services,0.9,IBM primarily provides IT services and solutions.
69,New York Life Insurance,"Insurance: Life, Health (Mutual)",H,"Finance, Insurance & Real Estate",1,Insurance company fits finance and real estate category.
70,Delta Airlines,Airlines,E,Transportation & Public Utilities,0.9,Airlines are part of transportation services.
71,Publix Super Markets,Food & Drug Stores,G,Retail Trade,1,Retailer in food and drug sector.
