pillar,cluster_id,canonical_concept,keyword,term,source,provenance,confidence,nearest_A_cluster_id,nearest_A_cluster_name,nearest_A_pillar,nearest_A_sim
environmental,0,environmental compliance,advanced_technology,advanced technology,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,advertising_and_labelling,advertising and labelling,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,advertising_code,advertising code,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,advertising_labelling,advertising labelling,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,advertising_practice,advertising practice,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,animal_welfare,animal welfare,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,brand_image,brand image,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,brand_reputation,brand reputation,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,breach_of_customer_privacy,breach of customer privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,breach_of_privacy,breach of privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,business_compliance,business compliance,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,business_continuity,business continuity,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,circular_economy,circular economy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,client_confidentiality,client confidentiality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,client_datum,client datum,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,client_privacy,client privacy,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,competitive_advantage,competitive advantage,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,competitive_edge,competitive edge,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,competitive_pricing,competitive pricing,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,competitiveness,competitiveness,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,compliance_management,compliance management,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,compliance_program,compliance program,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,compliance_programme,compliance programme,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,compliance_risk,compliance risk,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,compliance_training,compliance training,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,component_quality,component quality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,confidentiality,confidentiality,A,original,1,0,environmental compliance,environmental,
environmental,0,environmental compliance,construction_quality,construction quality,A,original,1,0,environmental compliance,environmental,
